date,season,team,home/visitor,opponent,score,opponentScore,moneyLine,opponentMoneyLine,total,spread,secondHalfTotal,win,team_prob,opp_prob,model_prob,decimal_odds,edge,payoff_if_win,ev_market,ev_model,realized_return
2015-03-27,2015,Minnesota,@,Houston,110,120,1000.0,-1800.0,205.5,14.0,101.0,0,0.09090909090909091,0.9473684210526315,0.12127839200456914,11.0,0.030369301095478224,10.0,1.1102230246251565e-16,0.3340623120502605,-1.0
2012-04-25,2012,Charlotte,@,Orlando,95,102,1200.0,-2000.0,185.5,14.5,91.0,0,0.07692307692307693,0.9523809523809523,0.11430336540927495,13.0,0.037380288486198024,12.0,0.0,0.48594375032057446,-1.0
2008-12-30,2009,Washington,@,New Orleans,85,97,1075.0,-1650.0,183.5,14.5,93.0,0,0.0851063829787234,0.9428571428571428,0.11569716502160446,11.75,0.030590782042881057,10.75,0.0,0.3594416890038524,-1.0
2008-12-23,2009,Philadelphia,@,Boston,91,110,900.0,-1400.0,191.5,13.0,95.0,0,0.1,0.9333333333333333,0.1331952538387456,10.0,0.03319525383874558,9.0,0.0,0.33195253838745575,-1.0
2016-01-17,2016,Dallas,@,San Antonio,83,112,750.0,-1200.0,195.5,12.5,96.5,0,0.11764705882352941,0.9230769230769231,0.14143870252468815,8.5,0.023791643701158743,7.5,0.0,0.2022289714598493,-1.0
2016-03-01,2016,Phoenix,@,Charlotte,92,126,800.0,-1400.0,210.0,12.5,108.5,0,0.1111111111111111,0.9333333333333333,0.14030645352655902,9.0,0.02919534241544791,8.0,0.0,0.26275808173903115,-1.0
2009-03-20,2009,Memphis,@,New Orleans,84,96,650.0,-900.0,190.0,11.5,95.5,0,0.13333333333333333,0.9,0.15699008177550966,7.5,0.02365674844217633,6.5,0.0,0.17742561331632234,-1.0
2016-03-06,2016,Philadelphia,@,Miami,98,103,1300.0,-3500.0,210.5,14.0,105.0,0,0.07142857142857142,0.9722222222222222,0.11766082746407065,14.0,0.04623225603549923,13.0,-1.1102230246251565e-16,0.6472515844969893,-1.0
2012-01-23,2012,New Jersey,@,Chicago,95,110,950.0,-1450.0,189.0,13.5,94.0,0,0.09523809523809523,0.9354838709677419,0.12724610208928544,10.5,0.03200800685119021,9.5,-1.1102230246251565e-16,0.3360840719374971,-1.0
2008-03-16,2008,Miami,vs,Dallas,73,98,3000.0,-4000.0,194.0,16.5,93.5,0,0.03225806451612903,0.975609756097561,0.09246290811914684,31.0,0.06020484360301781,30.0,0.0,1.8663501516935521,-1.0
2012-04-04,2012,Charlotte,@,Atlanta,93,120,1000.0,-1425.0,185.5,13.0,91.0,0,0.09090909090909091,0.9344262295081968,0.1320939487874676,11.0,0.041184857878376696,10.0,1.1102230246251565e-16,0.4530334366621437,-1.0
2012-01-23,2012,Detroit,@,Oklahoma City,79,99,1000.0,-1600.0,186.5,13.5,90.5,0,0.09090909090909091,0.9411764705882353,0.12626514426919758,11.0,0.035356053360106665,10.0,1.1102230246251565e-16,0.38891658696117326,-1.0
2008-03-22,2008,Miami,@,Charlotte,82,94,3000.0,-6000.0,192.5,18.0,96.0,0,0.03225806451612903,0.9836065573770492,0.08089216875403209,31.0,0.048634104237903056,30.0,0.0,1.5076572313749947,-1.0
2016-03-12,2016,Philadelphia,vs,Detroit,111,125,650.0,-1000.0,206.0,11.5,103.5,0,0.13333333333333333,0.9090909090909091,0.15659513809857095,7.5,0.02326180476523762,6.5,0.0,0.1744635357392822,-1.0
2013-03-15,2013,Minnesota,@,Houston,100,108,1380.0,-1980.0,210.5,14.5,106.5,0,0.06756756756756757,0.9519230769230769,0.11438256135178938,14.8,0.04681499378422181,13.8,1.1102230246251565e-16,0.692861908006483,-1.0
2008-12-22,2009,Memphis,vs,LA Lakers,96,105,700.0,-1000.0,206.5,12.0,104.0,0,0.125,0.9090909090909091,0.1497858432185882,8.0,0.024785843218588205,7.0,0.0,0.19828674574870575,-1.0
2012-04-26,2012,Cleveland,@,Chicago,75,107,1750.0,-3700.0,183.0,14.0,89.5,0,0.05405405405405406,0.9736842105263158,0.11534141261622197,18.5,0.06128735856216791,17.5,1.1102230246251565e-16,1.1338161334001065,-1.0
