date,season,team,home/visitor,opponent,score,opponentScore,moneyLine,opponentMoneyLine,total,spread,secondHalfTotal,win,team_prob,opp_prob,row_id,logit_prob,set,market_prob,EV,edge,profit,ev_bucket
2014-11-11,2015,Memphis,vs,LA Lakers,107,102,-640.0,490.0,197.0,-10.0,98.5,1,0.8648648648648649,0.1694915254237288,16943,0.8353680235892702,train,0.8648648648648649,-0.034105722724906334,-0.02949684127559471,0.15625,7
2014-11-11,2015,LA Lakers,@,Memphis,102,107,490.0,-640.0,197.0,10.0,98.5,0,0.1694915254237288,0.8648648648648649,16944,0.1712240358512685,train,0.1694915254237288,0.010221811522484137,0.0017325104275396908,-1.0,9
2014-11-11,2015,Oklahoma City,@,Milwaukee,78,85,110.0,-130.0,191.0,2.0,96.0,0,0.4761904761904761,0.5652173913043478,16945,0.4531578301030391,train,0.47619047619047616,-0.04836855678361779,-0.023032646087437048,-1.0,0
2014-11-11,2015,Milwaukee,vs,Oklahoma City,85,78,-130.0,110.0,191.0,-2.0,96.0,1,0.5652173913043478,0.4761904761904761,16946,0.5453182585470097,train,0.5652173913043478,-0.035206157955290585,-0.019899132757338123,0.7692307692307693,6
2014-11-11,2015,Toronto,vs,Orlando,104,100,-700.0,525.0,198.0,-10.5,99.0,1,0.875,0.16,16947,0.8458143941359478,train,0.875,-0.03335497813034534,-0.029185605864052167,0.14285714285714285,7
2014-11-11,2015,Charlotte,@,Portland,100,102,240.0,-290.0,192.5,6.5,96.5,0,0.2941176470588235,0.7435897435897436,16948,0.2867817166557483,train,0.29411764705882354,-0.02494216337045585,-0.00733593040307523,-1.0,8
2014-11-11,2015,Dallas,vs,Sacramento,106,98,-375.0,305.0,206.0,-8.0,103.5,1,0.7894736842105263,0.2469135802469135,16949,0.7601105061535118,train,0.7894736842105263,-0.037193358872218335,-0.029363178057014494,0.26666666666666666,4
2014-11-11,2015,Golden State,vs,San Antonio,100,113,-340.0,280.0,201.5,-7.5,105.5,0,0.7727272727272727,0.2631578947368421,16950,0.7439805878097747,train,0.7727272727272727,-0.03720159224617389,-0.02874668491749799,-1.0,4
2014-11-11,2015,Orlando,@,Toronto,100,104,525.0,-700.0,198.0,10.5,99.0,0,0.16,0.875,16951,0.1616080753865856,train,0.16,0.01005047116615998,0.0016080753865855835,-1.0,9
2014-11-12,2015,Utah,@,Atlanta,97,100,264.0,-324.0,197.0,7.0,100.0,0,0.2747252747252747,0.7641509433962265,16952,0.2689312614104858,train,0.27472527472527475,-0.02109020846583176,-0.005794013314788959,-1.0,8
2014-11-12,2015,Oklahoma City,@,Boston,109,94,270.0,-330.0,197.0,7.5,98.0,1,0.2702702702702703,0.7674418604651163,16953,0.2642702991528516,train,0.2702702702702703,-0.022199893134449034,-0.005999971117418679,2.7,8
2014-11-12,2015,Phoenix,vs,Brooklyn,112,104,-185.0,160.0,207.5,-4.0,103.5,1,0.6491228070175439,0.3846153846153846,16954,0.6243682919346708,train,0.6491228070175439,-0.0381353340465882,-0.024754515082873074,0.5405405405405406,3
2014-11-12,2015,Portland,@,Denver,130,113,130.0,-150.0,208.5,3.0,104.0,1,0.4347826086956521,0.6,16955,0.4150953456289269,train,0.43478260869565216,-0.04528070505346804,-0.019687263066725247,1.3,1
2014-11-12,2015,Washington,vs,Detroit,107,103,-275.0,230.0,191.5,-6.5,96.0,1,0.7333333333333333,0.303030303030303,16956,0.7057451226964386,train,0.7333333333333333,-0.037620287232129124,-0.02758821063689465,0.36363636363636365,4
2014-11-12,2015,Minnesota,vs,Houston,101,113,255.0,-310.0,207.0,7.0,104.5,0,0.2816901408450704,0.7560975609756098,16957,0.2749260193404013,train,0.28169014084507044,-0.024012631341575497,-0.006764121504669152,-1.0,8
2014-11-12,2015,Miami,vs,Indiana,75,81,-400.0,325.0,188.0,-8.5,94.5,0,0.8,0.2352941176470588,16958,0.7711395204483974,train,0.8,-0.03607559943950325,-0.028860479551602647,-1.0,5
2014-11-12,2015,New Orleans,vs,LA Lakers,109,102,-700.0,525.0,210.0,-11.0,104.0,1,0.875,0.16,16959,0.8461883547266085,train,0.875,-0.03292759459816175,-0.02881164527339153,0.14285714285714285,7
2014-11-12,2015,Indiana,@,Miami,81,75,325.0,-400.0,188.0,8.5,94.5,1,0.2352941176470588,0.8,16960,0.2325655717079882,train,0.23529411764705882,-0.011596320241050173,-0.0027285459390706257,3.25,9
2014-11-12,2015,Houston,vs,Minnesota,113,101,-310.0,255.0,207.0,-7.0,104.5,1,0.7560975609756098,0.2816901408450704,16961,0.7272611188051745,train,0.7560975609756098,-0.03813852028993048,-0.02883644217043524,0.3225806451612903,3
2014-11-12,2015,LA Lakers,@,New Orleans,102,109,525.0,-700.0,210.0,11.0,104.0,0,0.16,0.875,16962,0.1608773756765916,train,0.16,0.005483597978697463,0.0008773756765916019,-1.0,9
2014-11-12,2015,Orlando,@,New York,97,95,220.0,-265.0,191.5,6.5,96.5,1,0.3125,0.726027397260274,16963,0.3026802982809528,train,0.3125,-0.0314230455009511,-0.009819701719047225,2.2,7
2014-11-12,2015,Boston,vs,Oklahoma City,94,109,-330.0,270.0,197.0,-7.5,98.0,0,0.7674418604651163,0.2702702702702703,16964,0.738708426676039,train,0.7674418604651163,-0.03744053493728253,-0.028733433789077334,-1.0,4
